"clockwise" "counterclockwise" "left" "node_head" "omega_left" "omega_right" "right" "err"
"clockwise" 0.75 0.0833333333333333 0.0833333333333333 0.0833333333333333 0 0 0 0.25
"counterclockwise" 0 0.727272727272727 0 0 0 0 0.272727272727273 0.272727272727273
"left" 0.0833333333333333 0 0.916666666666667 0 0 0 0 0.0833333333333333
"node_head" 0 0 0 1 0 0 0 0
"omega_left" 0 0 0 0 1 0 0 0
"omega_right" 0 0 0 0 0 1 0 0
"right" 0 0 0 0 0 0 1 0
